epoch,train_loss,val_loss
1,0.25920297077723914,0.17076269189516705
2,0.1474274916308267,0.1271239310503006
3,0.10037567530359541,0.12087723712126414
4,0.08494546200547899,0.11156309992074967
5,0.0749880571450506,0.1010641391078631
6,0.06430963086230414,0.10649172465006511
7,0.06357167001281466,0.10981622089942296
8,0.054239589614527565,0.11251074224710464
9,0.05095818330134664,0.09449938337008158
10,0.04916344008275441,0.09382627159357071
11,0.050787874843393054,0.09933980902036031
12,0.046807110735348295,0.1011825978755951
13,0.04552691504359245,0.09192605018615722
14,0.045016807530607494,0.09219745695590972
15,0.038999728219849726,0.08941300263007482
16,0.04188267961144447,0.09722144653399785
17,0.0354869829756873,0.093517704308033
18,0.03891907706856727,0.1015354464451472
19,0.03702893704175949,0.09748665640751521
20,0.03934769023741994,0.097019657989343
21,0.036935034979666985,0.08573739230632782
22,0.03516490246568407,0.08946222563584645
23,0.03934076423091548,0.08390882710615793
24,0.032542804681829046,0.0949644148349762
25,0.03468692717807634,0.08454315612713496
